iter	RMSE
0	1.0206885
1	1.013390865
2	1.00563844
3	0.9982667488
4	0.9892078157
5	0.9803536874
6	0.9747073743
7	0.9663585694
8	0.9593190711
9	0.9520288817
10	0.9454902094
11	0.9393703588
12	0.932736372
13	0.927438927
14	0.9203091146
15	0.9144290853
16	0.909200095
17	0.9026763478
18	0.8974573424
19	0.8918730225
20	0.8869483039
21	0.8821037117
22	0.8776102287
23	0.8725601194
24	0.8669739609
25	0.8628035945
26	0.8580340031
27	0.8539257034
28	0.8499152737
29	0.8466040391
30	0.8435597827
31	0.8405476615
32	0.8371884266
33	0.8350024617
34	0.8316153165
35	0.8281487609
36	0.8237202653
37	0.8203993406
38	0.8165910939
39	0.8134987712
40	0.8109806088
41	0.8087637056
42	0.8057305331
43	0.8028308405
44	0.8003257163
45	0.795888832
46	0.7930904474
47	0.7904641291
48	0.7878553591
49	0.786105585
50	0.7831119885
51	0.780751347
52	0.779062372
53	0.7783746879
54	0.7762078708
55	0.7748267723
56	0.772234409
57	0.7699366801
58	0.7679922855
59	0.7665027381
60	0.7644519404
61	0.7621430414
62	0.7603347223
63	0.7576855473
64	0.7554005976
65	0.7535120153
66	0.7518934334
67	0.7494982517
68	0.7456710686
69	0.7435899708
70	0.7416060211
71	0.7401488902
72	0.7382678236
73	0.7369619807
74	0.7349714992
75	0.7327913366
76	0.7316076018
77	0.7299278861
78	0.72853182
79	0.7272050634
80	0.7258135479
81	0.7241084799
82	0.7227849332
83	0.72152595
84	0.7203002065
85	0.7184208368
86	0.7168841945
87	0.7160120757
88	0.7141715526
89	0.7132622603
90	0.7117591464
91	0.7100745504
92	0.7082409339
93	0.7071721955
94	0.705094693
95	0.7031835599
96	0.7012972397
97	0.7002017879
98	0.6993403234
99	0.6980730588
100	0.6967049933
101	0.6954737624
102	0.6943782743
103	0.6931508473
104	0.6916949268
105	0.6905711327
106	0.6886651129
107	0.6874795744
108	0.6870252433
109	0.6855668896
110	0.6840287465
111	0.6828058836
112	0.6817131762
113	0.6801808685
114	0.6794864318
115	0.6782064163
116	0.6774970928
117	0.6758781208
118	0.6752071021
119	0.6747147529
120	0.6732790807
121	0.6714597409
122	0.6706306875
123	0.6685593471
124	0.6676308639
125	0.6671651489
126	0.6661688735
127	0.6652062451
128	0.6631114653
129	0.6609015231
130	0.6592838497
131	0.6576096748
132	0.655797082
133	0.6548883257
134	0.6541731652
135	0.6531542333
136	0.6522007544
137	0.6508479389
138	0.6494560876
139	0.6483271126
140	0.6475939432
141	0.6461697856
142	0.6438614606
143	0.6432944986
144	0.6418478167
145	0.6402265569
146	0.6393479337
147	0.6387651621
148	0.6374186106
149	0.636322709
150	0.6346021296
151	0.6335772269
152	0.6323779796
153	0.631081791
154	0.6291369025
155	0.6274259983
156	0.6262876872
157	0.6256000714
158	0.6243759917
159	0.6230208927
160	0.6224336121
161	0.6217860141
162	0.6202472791
163	0.6186765895
164	0.6173278037
165	0.6155589177
166	0.6144085335
167	0.6134947041
168	0.6122932328
169	0.6112306145
170	0.6095567795
171	0.6088271136
172	0.6073989722
173	0.6059713499
174	0.6053155734
175	0.6048245053
176	0.6038635369
177	0.6023802593
178	0.6009300893
179	0.5999878571
180	0.5991155935
181	0.5984712557
182	0.5974795652
183	0.5968453551
184	0.5960877981
185	0.5952745912
186	0.5938938844
187	0.5930560767
188	0.5921365567
189	0.591347111
190	0.5906637495
191	0.589539747
192	0.5882859641
193	0.5870261775
194	0.5859702948
195	0.5850361369
196	0.583845658
197	0.5832758849
198	0.582694119
199	0.5818690332
