iter	Passed	Remaining
0	0	67
1	0	55
2	0	49
3	0	47
4	1	48
5	1	47
6	1	46
7	1	45
8	2	44
9	2	44
10	2	43
11	2	43
12	3	43
13	3	42
14	3	42
15	3	41
16	3	41
17	4	40
18	4	40
19	4	40
20	4	40
21	5	41
22	5	42
23	5	42
24	6	42
25	6	42
26	6	42
27	7	43
28	7	43
29	7	43
30	7	43
31	8	43
32	8	42
33	8	42
34	8	42
35	9	42
36	9	41
37	9	41
38	9	41
39	10	41
40	10	40
41	10	40
42	10	39
43	11	39
44	11	39
45	11	38
46	11	38
47	12	38
48	12	37
49	12	37
50	12	37
51	12	36
52	13	36
53	13	36
54	13	35
55	13	35
56	14	35
57	14	34
58	14	34
59	14	34
60	14	33
61	15	33
62	15	33
63	15	32
64	15	32
65	15	32
66	16	32
67	16	31
68	16	31
69	16	31
70	17	31
71	17	30
72	17	30
73	17	30
74	18	30
75	18	29
76	18	29
77	18	29
78	18	28
79	19	28
80	19	28
81	19	28
82	19	28
83	20	27
84	20	27
85	20	27
86	20	27
87	21	26
88	21	26
89	21	26
90	21	26
91	22	25
92	22	25
93	22	25
94	22	25
95	22	24
96	23	24
97	23	24
98	23	24
99	23	23
100	24	23
101	24	23
102	24	23
103	24	22
104	25	22
105	25	22
106	25	22
107	25	21
108	25	21
109	26	21
110	26	21
111	26	21
112	26	20
113	27	20
114	27	20
115	27	19
116	27	19
117	27	19
118	28	19
119	28	18
120	28	18
121	28	18
122	29	18
123	29	18
124	29	17
125	29	17
126	30	17
127	30	17
128	30	16
129	31	16
130	31	16
131	31	16
132	31	16
133	32	15
134	32	15
135	32	15
136	33	15
137	33	15
138	33	14
139	34	14
140	34	14
141	34	14
142	34	13
143	34	13
144	35	13
145	35	13
146	35	12
147	35	12
148	36	12
149	36	12
150	36	11
151	36	11
152	37	11
153	37	11
154	37	10
155	37	10
156	38	10
157	38	10
158	38	10
159	39	9
160	39	9
161	39	9
162	39	9
163	40	8
164	40	8
165	40	8
166	40	8
167	41	7
168	41	7
169	41	7
170	41	7
171	41	6
172	42	6
173	42	6
174	42	6
175	43	5
176	43	5
177	43	5
178	43	5
179	43	4
180	44	4
181	44	4
182	44	4
183	44	3
184	45	3
185	45	3
186	45	3
187	45	2
188	46	2
189	46	2
190	46	2
191	46	1
192	47	1
193	47	1
194	47	1
195	47	0
196	47	0
197	48	0
198	48	0
199	48	0
