date,day_of_week,resting_hr,total_steps,total_sleep,sleep_hours,deep_ratio,rem_ratio,sleep_deficit,sleep_start_time,wake_time,sleep_midpoint,sleep_start_hour,wake_hour,avg_hr_day,hr_std_day,hr_deviation,stress_index,activity_load,is_weekend,mood_score,productivity_score
2026-01-01,4,70,3200,420,7.0,0.25,0.19,60,2026-01-01T03:10:00.000,2026-01-01T10:10:00.000,06:40:00,3,10,79.20,11.60,9.20,0.1460,0.32,0,7,6
2026-01-02,5,69,2900,430,7.2,0.26,0.19,50,2026-01-02T03:20:00.000,2026-01-02T10:30:00.000,06:55:00,3,10,78.40,11.40,9.40,0.1440,0.29,0,7,6
2026-01-03,6,69,4100,450,7.5,0.27,0.20,30,2026-01-03T02:50:00.000,2026-01-03T10:20:00.000,06:35:00,2,10,77.60,11.30,9.60,0.1430,0.41,1,8,7
2026-01-04,0,68,3800,440,7.3,0.26,0.20,40,2026-01-04T03:00:00.000,2026-01-04T10:15:00.000,06:37:00,3,10,77.90,11.20,9.90,0.1435,0.38,1,8,7
2026-01-05,1,71,6400,360,6.0,0.24,0.18,120,2026-01-05T03:05:00.000,2026-01-05T09:05:00.000,06:05:00,3,9,83.10,13.00,12.10,0.1580,0.64,0,6,6
2026-01-06,2,72,7200,340,5.7,0.23,0.17,140,2026-01-06T03:20:00.000,2026-01-06T09:00:00.000,06:10:00,3,9,84.60,13.70,12.60,0.1620,0.72,0,5,5
2026-01-07,3,74,8300,310,5.2,0.22,0.16,170,2026-01-07T03:40:00.000,2026-01-07T08:50:00.000,06:15:00,3,8,87.40,14.90,13.40,0.1750,0.83,0,4,5
2026-01-08,4,71,5200,380,6.3,0.24,0.18,100,2026-01-08T03:10:00.000,2026-01-08T09:30:00.000,06:20:00,3,9,82.30,12.90,11.30,0.1560,0.52,0,7,7
2026-01-09,5,70,4600,400,6.7,0.25,0.19,80,2026-01-09T03:00:00.000,2026-01-09T09:40:00.000,06:20:00,3,9,80.40,12.40,10.40,0.1510,0.46,0,7,6
2026-01-10,6,70,5900,420,7.0,0.26,0.19,60,2026-01-10T02:50:00.000,2026-01-10T09:50:00.000,06:20:00,2,9,79.80,11.90,10.80,0.1480,0.59,1,8,7
2026-01-11,0,69,5300,410,6.8,0.25,0.19,70,2026-01-11T03:10:00.000,2026-01-11T09:50:00.000,06:30:00,3,9,79.60,11.80,10.60,0.1480,0.53,1,7,7
2026-01-12,1,71,6300,360,6.0,0.24,0.18,120,2026-01-12T03:20:00.000,2026-01-12T09:20:00.000,06:20:00,3,9,83.00,13.10,12.00,0.1590,0.63,0,6,6
2026-01-13,2,72,7100,340,5.7,0.23,0.17,140,2026-01-13T03:30:00.000,2026-01-13T09:10:00.000,06:20:00,3,9,84.70,13.80,12.70,0.1630,0.71,0,5,5
2026-01-14,3,74,8600,300,5.0,0.21,0.16,180,2026-01-14T03:45:00.000,2026-01-14T08:45:00.000,06:15:00,3,8,88.20,15.20,14.20,0.1780,0.86,0,4,5
2026-01-15,4,72,5400,380,6.3,0.24,0.18,100,2026-01-15T03:10:00.000,2026-01-15T09:30:00.000,06:20:00,3,9,82.50,13.00,11.50,0.1560,0.54,0,7,7
2026-01-16,5,71,4700,400,6.7,0.25,0.19,80,2026-01-16T03:00:00.000,2026-01-16T09:40:00.000,06:20:00,3,9,80.60,12.50,10.60,0.1510,0.47,0,7,7
2026-01-17,6,69,6000,430,7.2,0.26,0.19,50,2026-01-17T02:50:00.000,2026-01-17T10:00:00.000,06:25:00,2,10,79.50,12.00,10.50,0.1480,0.60,1,8,7
2026-01-18,0,69,5700,420,7.0,0.26,0.19,60,2026-01-18T03:05:00.000,2026-01-18T10:05:00.000,06:35:00,3,10,79.20,11.90,10.20,0.1470,0.57,1,7,7
2026-01-19,1,71,6200,360,6.0,0.24,0.18,120,2026-01-19T03:15:00.000,2026-01-19T09:15:00.000,06:15:00,3,9,83.20,13.10,12.20,0.1590,0.62,0,6,6
2026-01-20,2,72,7000,340,5.7,0.23,0.17,140,2026-01-20T03:25:00.000,2026-01-20T09:05:00.000,06:15:00,3,9,84.80,13.80,12.80,0.1630,0.70,0,5,5
2026-01-21,3,74,8800,300,5.0,0.21,0.16,180,2026-01-21T03:45:00.000,2026-01-21T08:45:00.000,06:15:00,3,8,88.50,15.40,14.50,0.1800,0.88,0,4,5
2026-01-22,4,72,5200,380,6.3,0.24,0.18,100,2026-01-22T03:10:00.000,2026-01-22T09:30:00.000,06:20:00,3,9,82.60,13.00,11.60,0.1560,0.52,0,7,7
2026-01-23,5,71,4600,400,6.7,0.25,0.19,80,2026-01-23T03:00:00.000,2026-01-23T09:40:00.000,06:20:00,3,9,80.80,12.50,10.80,0.1510,0.46,0,7,7
2026-01-24,6,70,6100,430,7.2,0.26,0.19,50,2026-01-24T02:55:00.000,2026-01-24T10:05:00.000,06:30:00,2,10,79.70,12.00,10.70,0.1480,0.61,1,8,7
