iter	RMSE
0	1.121182835
1	1.111184716
2	1.105252221
3	1.098027064
4	1.091449088
5	1.083919599
6	1.075961054
7	1.070885273
8	1.06300675
9	1.056392441
10	1.049629379
11	1.043561103
12	1.03766616
13	1.031862044
14	1.025546008
15	1.019704244
16	1.01305404
17	1.007895103
18	1.001270834
19	0.9968580256
20	0.9918550039
21	0.9888045376
22	0.9855023061
23	0.9777498416
24	0.9725998084
25	0.9658749266
26	0.9607491574
27	0.9556110107
28	0.9498350732
29	0.9449777332
30	0.9394453073
31	0.9355926851
32	0.9317792367
33	0.9273446005
34	0.9239303393
35	0.918444904
36	0.9147052477
37	0.9101506389
38	0.9054492529
39	0.9019925461
40	0.8988725264
41	0.8956048251
42	0.8924141439
43	0.8895442309
44	0.8879307913
45	0.8828543201
46	0.8793117942
47	0.8749566898
48	0.8725082776
49	0.8708123129
50	0.8689020771
51	0.8654129095
52	0.86379015
53	0.8606744244
54	0.8575802759
55	0.8544808249
56	0.8513641595
57	0.8478887327
58	0.8449900611
59	0.8418782373
60	0.839141885
61	0.8368305258
62	0.8350261552
63	0.8324429779
64	0.8292096589
65	0.8261633466
66	0.8232149432
67	0.8200327703
68	0.8179917329
69	0.8153066284
70	0.8130629634
71	0.8106663947
72	0.8092000526
73	0.8076614836
74	0.8046649836
75	0.8024201649
76	0.8013085599
77	0.7985009657
78	0.7966028473
79	0.7951387821
80	0.7931701533
81	0.7907116416
82	0.7893980296
83	0.787680645
84	0.786408085
85	0.7852498294
86	0.7830273738
87	0.7817527604
88	0.7801391615
89	0.7784550176
90	0.7771055836
91	0.7761775691
92	0.7751593395
93	0.7736663867
94	0.7714498957
95	0.7697857111
96	0.7688644139
97	0.7681782412
98	0.7671665426
99	0.7655996465
100	0.7647770816
101	0.7641404128
102	0.7624501607
103	0.7609962462
104	0.7594054599
105	0.7580542893
106	0.7567466816
107	0.7548997783
108	0.752361525
109	0.7516591237
110	0.7493406809
111	0.7487916667
112	0.7473442263
113	0.7454670274
114	0.7434488643
115	0.7426008046
116	0.7417214007
117	0.7405814675
118	0.7394681067
119	0.7387685823
120	0.7379313566
121	0.7369610933
122	0.7350799547
123	0.733482767
124	0.7322642339
125	0.7299747274
126	0.72907757
127	0.7277760542
128	0.7268661007
129	0.7249511217
130	0.7238478263
131	0.722627902
132	0.7216856996
133	0.7209153001
134	0.7198332184
135	0.7184721123
136	0.71751789
137	0.7163703009
138	0.714880937
139	0.7134182157
140	0.7117494592
141	0.7101232362
142	0.7087515728
143	0.7074496946
144	0.7059910291
145	0.7035930745
146	0.7021620867
147	0.7007618889
148	0.6994087211
149	0.6986388468
150	0.6980260814
151	0.6962264573
152	0.6955470225
153	0.6945669
154	0.6932854175
155	0.6919810765
156	0.6906834615
157	0.6882246596
158	0.6871319887
159	0.6858968911
160	0.6845109112
161	0.6825908391
162	0.6813894597
163	0.6796779798
164	0.6785792978
165	0.6782773129
166	0.6769104984
167	0.6758503752
168	0.674640243
169	0.6742982405
170	0.6739904157
171	0.6729299515
172	0.6709695583
173	0.6705568946
174	0.669152979
175	0.6680199724
176	0.6676762082
177	0.6673814691
178	0.6667870972
179	0.6664978386
180	0.6651444711
181	0.6640543967
182	0.663476818
183	0.6631677089
184	0.6629092039
185	0.6616113472
186	0.6605252219
187	0.6602377705
188	0.6584263207
189	0.6565689196
190	0.6555128907
191	0.6541028222
192	0.6534891902
193	0.6524553132
194	0.6506090783
195	0.6490225221
196	0.6475848667
197	0.6462752738
198	0.6452537045
199	0.6446688471
