iter	Passed	Remaining
0	0	163
1	1	150
2	2	134
3	2	124
4	3	118
5	3	114
6	4	110
7	4	108
8	5	106
9	5	105
10	6	105
11	6	104
12	7	102
13	7	100
14	7	98
15	8	98
16	9	97
17	9	96
18	10	95
19	10	94
20	10	92
21	11	91
22	11	90
23	12	88
24	12	87
25	12	86
26	13	85
27	13	83
28	14	83
29	14	82
30	14	81
31	15	81
32	15	80
33	16	80
34	16	79
35	17	78
36	17	77
37	17	76
38	18	75
39	18	74
40	18	73
41	19	72
42	19	71
43	19	70
44	20	69
45	20	68
46	21	68
47	21	67
48	21	66
49	21	65
50	22	64
51	22	63
52	22	62
53	22	61
54	22	60
55	23	59
56	23	58
57	23	58
58	23	57
59	24	56
60	24	55
61	24	54
62	24	54
63	25	53
64	25	52
65	25	51
66	25	51
67	25	50
68	26	49
69	26	48
70	26	48
71	26	47
72	26	46
73	26	45
74	27	45
75	27	44
76	27	43
77	27	43
78	27	42
79	27	41
80	28	41
81	28	40
82	28	40
83	28	39
84	28	38
85	28	38
86	29	37
87	29	37
88	29	36
89	29	36
90	29	35
91	29	35
92	30	34
93	30	34
94	30	33
95	30	33
96	30	32
97	30	32
98	31	31
99	31	31
100	31	30
101	31	30
102	31	29
103	31	29
104	32	29
105	32	28
106	32	28
107	32	27
108	32	27
109	33	27
110	33	26
111	33	26
112	33	25
113	33	25
114	33	25
115	34	24
116	34	24
117	34	23
118	34	23
119	34	23
120	34	22
121	35	22
122	35	22
123	35	21
124	35	21
125	35	21
126	35	20
127	36	20
128	36	19
129	36	19
130	36	19
131	36	18
132	36	18
133	37	18
134	37	17
135	37	17
136	37	17
137	37	16
138	37	16
139	38	16
140	38	16
141	38	15
142	38	15
143	38	15
144	38	14
145	39	14
146	39	14
147	39	13
148	39	13
149	39	13
150	39	12
151	40	12
152	40	12
153	40	12
154	40	11
155	40	11
156	40	11
157	41	10
158	41	10
159	41	10
160	41	10
161	41	9
162	41	9
163	42	9
164	42	8
165	42	8
166	42	8
167	42	8
168	42	7
169	43	7
170	43	7
171	43	7
172	43	6
173	43	6
174	43	6
175	44	6
176	44	5
177	44	5
178	44	5
179	44	4
180	44	4
181	44	4
182	45	4
183	45	3
184	45	3
185	45	3
186	45	3
187	45	2
188	46	2
189	46	2
190	46	2
191	46	1
192	46	1
193	47	1
194	47	1
195	47	0
196	47	0
197	47	0
198	47	0
199	48	0
