iter	RMSE
0	0.9643772988
1	0.9497118315
2	0.9375301219
3	0.9227796474
4	0.912310061
5	0.9021537201
6	0.8901316935
7	0.8779599543
8	0.8659232185
9	0.8524017439
10	0.8422190783
11	0.8301698597
12	0.8197161277
13	0.807475378
14	0.7967686336
15	0.7860037993
16	0.7741661103
17	0.7655312636
18	0.7545468694
19	0.7450231064
20	0.7347325369
21	0.7250182882
22	0.7166672743
23	0.7075529039
24	0.6997486174
25	0.692722787
26	0.68467263
27	0.677776107
28	0.6700737274
29	0.6635052702
30	0.6560704699
31	0.6479938775
32	0.6401849932
33	0.6325582153
34	0.6255763076
35	0.6171086439
36	0.6105849335
37	0.6040679372
38	0.5987750492
39	0.5918485766
40	0.5867322267
41	0.581221849
42	0.5753759644
43	0.5698801503
44	0.5649665518
45	0.5594517337
46	0.5550350073
47	0.5498397609
48	0.5454331604
49	0.5400420294
50	0.5357546387
51	0.531376941
52	0.5272386525
53	0.5219273495
54	0.517690004
55	0.513999885
56	0.5101896826
57	0.5056998684
58	0.5023261268
59	0.4978584508
60	0.4936227051
61	0.4894381343
62	0.4857233982
63	0.4829500103
64	0.480160632
65	0.4748137138
66	0.4718748869
67	0.4686807795
68	0.4650479277
69	0.4609143387
70	0.4581398212
71	0.4547233873
72	0.4520545252
73	0.4488725693
74	0.4464292477
75	0.4432141446
76	0.4393415658
77	0.4371046193
78	0.4335892275
79	0.4316025457
80	0.4287474117
81	0.4266245634
82	0.4244795727
83	0.4220463106
84	0.4195017287
85	0.4169436339
86	0.415908949
87	0.4136675773
88	0.4122085782
89	0.4101578219
90	0.4078541421
91	0.4061236095
92	0.4041725533
93	0.4027031129
94	0.4006672854
95	0.3992850545
96	0.397273241
97	0.3958200733
98	0.3938751936
99	0.3924536019
100	0.3902856329
101	0.3883466445
102	0.387135126
103	0.3850532066
104	0.3833546551
105	0.3819440327
106	0.3802585155
107	0.3789962832
108	0.3775637357
109	0.3758973059
110	0.375401687
111	0.3735724969
112	0.372083324
113	0.3711024622
114	0.3698735367
115	0.3690597694
116	0.3680314687
117	0.3674019124
118	0.3665889097
119	0.3654752227
120	0.3644230481
121	0.3631464589
122	0.361521634
123	0.3605394559
124	0.3585811702
125	0.3573117881
126	0.3558795477
127	0.3543701711
128	0.3530615079
129	0.3514429136
130	0.3504979709
131	0.3491948252
132	0.3481160554
133	0.3466153218
134	0.3456848046
135	0.3449251572
136	0.3440389491
137	0.3428385032
138	0.34211179
139	0.3417169494
140	0.3407011435
141	0.3394139514
142	0.3378935635
143	0.337132316
144	0.3364768864
145	0.3353847946
146	0.3343643378
147	0.3335916597
148	0.3324273033
149	0.3316633222
150	0.3306132801
151	0.3298343
152	0.3290975297
153	0.328148116
154	0.3276874792
155	0.3266879069
156	0.3259525808
157	0.3250123354
158	0.3240992983
159	0.3232087395
160	0.3225771432
161	0.3217493526
162	0.3206910026
163	0.3198411741
164	0.319087014
165	0.3186137133
166	0.3176574391
167	0.3169907602
168	0.3157582934
169	0.3152081761
170	0.3143951316
171	0.313638097
172	0.3128995587
173	0.3124490851
174	0.3116610044
175	0.3104681763
176	0.3096305372
177	0.3091501885
178	0.3083805251
179	0.3074882599
180	0.3066901503
181	0.3059181989
182	0.3052807051
183	0.3045368631
184	0.3037839218
185	0.3033792652
186	0.3028819862
187	0.3019997583
188	0.3016113815
189	0.3009451487
190	0.3002421359
191	0.2998845961
192	0.2990707191
193	0.2983386469
194	0.2979729681
195	0.297613776
196	0.2966890535
197	0.2960590298
198	0.2955250229
199	0.2948951773
200	0.2943770724
201	0.2938197244
202	0.2934784905
203	0.2931564739
204	0.2925676569
205	0.2918556075
206	0.2915438095
207	0.2909409522
208	0.2906641521
209	0.2901146129
210	0.2898150827
211	0.2890261408
212	0.2887333886
213	0.2883045406
214	0.2875551567
215	0.2870251758
216	0.2865092401
217	0.2860069322
218	0.2852931635
219	0.2848379694
220	0.2843512502
221	0.2840855163
222	0.2836127009
223	0.2833560843
224	0.282668545
225	0.2819157143
226	0.281253907
227	0.2809316658
228	0.2802775143
229	0.279878093
230	0.2794445208
231	0.2790144029
232	0.2788141204
233	0.2785797428
234	0.2783496435
235	0.2781237681
236	0.2778117471
237	0.277589782
238	0.2773718839
239	0.2771579797
240	0.2767938458
241	0.2764907162
242	0.2762811578
243	0.2760764943
244	0.2753670822
245	0.2751958906
246	0.2747795209
247	0.274486441
248	0.2737992817
249	0.2734116271
250	0.2730377347
251	0.2728752906
252	0.2725175199
253	0.2723604839
254	0.2719882539
255	0.2717050536
256	0.2712202137
257	0.2709412746
258	0.2705785292
259	0.2699819605
260	0.2693971291
261	0.2692211365
262	0.268943078
263	0.2685917517
264	0.2683190547
265	0.2679998022
266	0.2673514171
267	0.2672116863
268	0.2669467371
269	0.2663812944
270	0.2660399664
271	0.265707174
272	0.2654447398
273	0.2643649513
274	0.2641063208
275	0.2637793675
276	0.2627250583
277	0.2624704993
278	0.2618625889
279	0.2608405571
280	0.2605149365
281	0.259517853
282	0.2590850426
283	0.2588393038
284	0.2584190915
285	0.2580980427
286	0.2575159145
287	0.2570016449
288	0.2567633402
289	0.2563566367
290	0.2560420274
291	0.2558114245
292	0.2553070335
293	0.2550779203
294	0.2545842806
295	0.2541962594
296	0.2539717423
297	0.2536643658
298	0.2532873469
299	0.2530701111
