iter	Passed	Remaining
0	0	87
1	0	72
2	0	64
3	1	57
4	1	54
5	1	52
6	1	49
7	2	48
8	2	47
9	2	46
10	2	45
11	2	44
12	3	44
13	3	43
14	3	42
15	3	41
16	3	40
17	3	40
18	4	39
19	4	38
20	4	38
21	4	37
22	4	37
23	5	37
24	5	37
25	5	37
26	5	37
27	6	37
28	6	37
29	6	37
30	6	37
31	7	36
32	7	36
33	7	36
34	7	36
35	7	35
36	8	36
37	8	35
38	8	35
39	8	35
40	9	35
41	9	35
42	9	34
43	9	34
44	10	34
45	10	34
46	10	34
47	10	33
48	10	33
49	11	33
50	11	33
51	11	33
52	11	32
53	12	32
54	12	32
55	12	31
56	12	31
57	12	31
58	13	31
59	13	31
60	13	31
61	13	30
62	14	30
63	14	30
64	14	30
65	14	30
66	15	30
67	15	29
68	15	29
69	15	29
70	16	29
71	16	28
72	16	28
73	16	28
74	17	28
75	17	28
76	17	27
77	17	27
78	17	27
79	18	27
80	18	26
81	18	26
82	18	26
83	19	26
84	19	26
85	19	25
86	19	25
87	20	25
88	20	25
89	20	24
90	20	24
91	21	24
92	21	24
93	21	24
94	21	24
95	22	23
96	23	24
97	23	24
98	23	24
99	24	24
100	24	23
101	24	23
102	24	23
103	24	23
104	25	22
105	25	22
106	25	22
107	25	22
108	26	21
109	26	21
110	26	21
111	26	20
112	26	20
113	27	20
114	27	20
115	27	20
116	27	19
117	28	19
118	28	19
119	28	19
120	28	18
121	29	18
122	29	18
123	29	18
124	29	17
125	30	17
126	30	17
127	30	17
128	30	17
129	31	16
130	31	16
131	31	16
132	31	16
133	32	15
134	32	15
135	32	15
136	32	15
137	33	14
138	33	14
139	33	14
140	34	14
141	34	14
142	34	13
143	34	13
144	35	13
145	35	13
146	35	12
147	35	12
148	35	12
149	36	12
150	36	11
151	36	11
152	36	11
153	36	11
154	37	10
155	37	10
156	37	10
157	37	10
158	38	9
159	38	9
160	38	9
161	38	9
162	39	8
163	39	8
164	39	8
165	39	8
166	39	7
167	40	7
168	40	7
169	40	7
170	40	6
171	41	6
172	41	6
173	41	6
174	41	5
175	41	5
176	42	5
177	42	5
178	42	4
179	42	4
180	42	4
181	43	4
182	43	4
183	43	3
184	43	3
185	43	3
186	44	3
187	44	2
188	44	2
189	44	2
190	44	2
191	45	1
192	45	1
193	45	1
194	45	1
195	45	0
196	45	0
197	46	0
198	46	0
199	46	0
