date,day_of_week,resting_hr,total_steps,total_sleep,sleep_hours,deep_ratio,rem_ratio,sleep_deficit,sleep_start_time,wake_time,sleep_midpoint,sleep_start_hour,wake_hour,avg_hr_day,hr_std_day,hr_deviation,stress_index,activity_load,is_weekend,mood_score,productivity_score
2016-03-12,5,,0,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-12,5,,5543,95.0,1.58,0.25,0.19,385.0,2016-03-12 09:48:00,2016-03-12 11:23:00,10:35:30,9.0,11.0,,,,,0.25,1,,
2016-03-13,6,,3226,121.0,2.02,0.25,0.19,359.0,2016-03-13 06:44:00,2016-03-13 08:45:00,07:44:30,6.0,8.0,,,,,0.14,1,,
2016-03-13,6,,0,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-14,0,,8433,,,0.25,0.19,,,,,,,,,,,0.24,0,,
2016-03-14,0,,3023,78.0,1.3,0.25,0.19,402.0,2016-03-14 01:55:00,2016-03-14 03:13:00,02:34:00,1.0,3.0,,,,,0.14,0,,
2016-03-15,1,,0,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-15,1,,5906,145.0,2.42,0.25,0.19,335.0,2016-03-15 02:07:00,2016-03-15 04:32:00,03:19:30,2.0,4.0,,,,,0.24,0,,
2016-03-16,2,,2139,,,0.25,0.19,,,,,,,,,,,0.07,0,,
2016-03-16,2,,12483,864.0,14.4,0.25,0.19,-384.0,2016-03-16 10:27:00,2016-03-17 00:51:00,17:39:00,10.0,0.0,,,,,0.41,0,,
2016-03-17,3,,0,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-17,3,,8940,65.0,1.08,0.25,0.19,415.0,2016-03-17 02:25:00,2016-03-17 03:30:00,02:57:30,2.0,3.0,,,,,0.05,0,,
2016-03-18,4,,949,,,0.25,0.19,,,,,,,,,,,0.03,0,,
2016-03-18,4,,368,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-19,5,,5702,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-19,5,,0,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-20,6,,44,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-20,6,,10330,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-21,0,,2660,,,0.25,0.19,,,,,,,,,,,0.05,0,,
2016-03-21,0,,8778,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-22,1,,5561,,,0.25,0.19,,,,,,,,,,,0.17,0,,
2016-03-22,1,,6662,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-23,2,,6309,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-23,2,,7239,,,0.25,0.19,,,,,,,,,,,0.22,0,,
2016-03-24,3,,7,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-24,3,,1951,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-25,4,,0,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-25,4,,5563,,,0.25,0.19,,,,,,,,,,,0.0,0,,
2016-03-25,4,,1810,,,0.25,0.19,,,,,,,,,,,0.12,0,,
2016-03-25,4,,11004,135.0,2.25,0.25,0.19,345.0,2016-03-25 03:40:00,2016-03-25 05:55:00,04:47:30,3.0,5.0,,,,,0.33,0,,
2016-03-26,5,,0,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-26,5,,17609,63.0,1.05,0.25,0.19,417.0,2016-03-26 06:12:00,2016-03-26 07:15:00,06:43:30,6.0,7.0,,,,,0.57,1,,
2016-03-26,5,,4370,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-26,5,,815,,,0.25,0.19,,,,,,,,,,,0.05,1,,
2016-03-27,6,,2275,,,0.25,0.19,,,,,,,,,,,0.09,1,,
2016-03-27,6,,7144,,,0.25,0.19,,,,,,,,,,,0.0,1,,
2016-03-27,6,,1985,,,0.25,0.19,,,,,,,,,,,0.11,1,,
2016-03-27,6,,12736,1063.0,17.72,0.25,0.19,-583.0,2016-03-27 08:09:00,2016-03-28 01:52:00,17:00:30,8.0,1.0,,,,,0.45,1,,
2016-03-28,0,,2106,,,0.25,0.19,,,,,,,,,,,0.26,0,,
2016-03-28,0,,13231,,,0.25,0.19,,,,,,,,,,,0.38,0,,
