iter	Passed	Remaining
0	0	272
1	2	307
2	2	269
3	3	249
4	4	237
5	4	223
6	5	215
7	5	204
8	6	197
9	6	191
10	7	185
11	7	183
12	8	179
13	8	176
14	9	178
15	10	179
16	10	177
17	11	176
18	11	174
19	12	172
20	12	170
21	13	167
22	13	167
23	14	166
24	14	164
25	15	161
26	15	158
27	16	155
28	16	153
29	16	151
30	17	149
31	17	145
32	17	143
33	18	140
34	18	138
35	18	135
36	18	133
37	19	131
38	19	129
39	19	127
40	19	125
41	20	124
42	20	122
43	20	121
44	21	119
45	21	117
46	21	115
47	21	113
48	21	111
49	21	109
50	22	108
51	22	106
52	22	104
53	22	103
54	22	101
55	23	100
56	23	98
57	23	97
58	23	96
59	23	95
60	23	93
61	24	92
62	24	91
63	24	90
64	24	89
65	24	88
66	24	86
67	25	85
68	25	84
69	25	83
70	25	82
71	25	81
72	25	80
73	26	79
74	26	79
75	26	79
76	27	78
77	27	77
78	27	76
79	27	75
80	27	74
81	27	74
82	28	73
83	28	72
84	28	71
85	28	70
86	28	70
87	28	69
88	28	68
89	29	67
90	29	67
91	29	66
92	29	65
93	29	65
94	29	64
95	29	63
96	30	63
97	30	62
98	30	61
99	30	61
100	30	60
101	30	60
102	31	59
103	31	58
104	31	58
105	31	57
106	31	57
107	31	56
108	31	56
109	32	55
110	32	54
111	32	54
112	32	54
113	32	53
114	33	53
115	33	52
116	33	52
117	33	51
118	33	51
119	33	50
120	34	50
121	34	49
122	34	49
123	34	48
124	34	48
125	34	48
126	34	47
127	35	47
128	35	46
129	35	46
130	35	45
131	35	45
132	35	45
133	36	44
134	36	44
135	36	43
136	36	43
137	36	43
138	36	42
139	36	42
140	37	41
141	37	41
142	37	41
143	37	40
144	37	40
145	37	39
146	38	39
147	38	39
148	38	38
149	38	38
150	38	38
151	38	37
152	38	37
153	39	37
154	39	36
155	39	36
156	39	36
157	39	35
158	40	35
159	40	35
160	40	34
161	40	34
162	40	34
163	40	33
164	41	33
165	41	33
166	41	33
167	41	32
168	41	32
169	41	32
170	42	31
171	42	31
172	42	31
173	42	30
174	42	30
175	42	30
176	43	29
177	43	29
178	43	29
179	43	29
180	43	28
181	43	28
182	44	28
183	44	27
184	44	27
185	44	27
186	44	26
187	44	26
188	44	26
189	45	26
190	45	25
191	45	25
192	45	25
193	45	25
194	45	24
195	46	24
196	46	24
197	46	23
198	46	23
199	46	23
200	46	23
201	47	22
202	47	22
203	47	22
204	47	22
205	47	21
206	47	21
207	47	21
208	48	20
209	48	20
210	48	20
211	48	20
212	48	19
213	48	19
214	49	19
215	49	19
216	49	18
217	49	18
218	49	18
219	49	18
220	49	17
221	50	17
222	50	17
223	50	17
224	50	16
225	50	16
226	50	16
227	50	16
228	51	15
229	51	15
230	51	15
231	51	15
232	51	14
233	51	14
234	52	14
235	52	14
236	52	13
237	52	13
238	52	13
239	53	13
240	53	13
241	53	12
242	53	12
243	53	12
244	53	12
245	54	11
246	54	11
247	54	11
248	54	11
249	54	10
250	54	10
251	55	10
252	55	10
253	55	10
254	55	9
255	55	9
256	56	9
257	56	9
258	56	8
259	56	8
260	56	8
261	57	8
262	57	8
263	57	7
264	57	7
265	58	7
266	58	7
267	58	6
268	58	6
269	58	6
270	59	6
271	59	6
272	59	5
273	59	5
274	59	5
275	59	5
276	59	4
277	60	4
278	60	4
279	60	4
280	60	4
281	60	3
282	60	3
283	61	3
284	61	3
285	61	3
286	61	2
287	61	2
288	61	2
289	61	2
290	62	1
291	62	1
292	62	1
293	62	1
294	62	1
295	62	0
296	63	0
297	63	0
298	63	0
299	63	0
